text,sentiment
Produk ini sangat buruk,negative
Pelayanan yang diberikan sangat memuaskan,positive
Saya sangat kecewa dengan kualitas produk ini,negative
Proses pengiriman sangat cepat dan efisien,positive
Harga barang terlalu mahal untuk kualitasnya,negative
Saya puas dengan pembelian saya,positive
Tidak ada masalah dengan produk ini,positive
"Pelayanan yang buruk, tidak direkomendasikan",negative
Kualitas produknya biasa saja,neutral
Pelayanannya lama dan tidak ramah,negative
"Sangat mengecewakan, tidak sesuai ekspektasi",negative
Harganya sangat terjangkau dan kualitasnya bagus,positive
Produknya bagus tapi harganya mahal,neutral
Saya senang dengan pembelian ini,positive
Tidak ada keluhan dengan produk ini,positive
Pelayanannya ramah dan membantu,positive
Kualitas produknya luar biasa,positive
Harga barangnya sangat mahal dan tidak sebanding,negative
Saya tidak puas dengan pembelian saya,negative
Pelayanannya cepat dan efisien,positive
